id,texto_sap,category,sub_category
400014366,"El cliente informa que el prepolimero hecho con la ultima cisterna, ha salido rojo, y que en 3 horas ha subido mucho la viscosidad 7000 cP cuando lo normal es 5500 cP. Comenta que en la anterior entrega era del mismo lote y no les ha dado problemas.

Informa que han medido la basicidad del lote 28004 y el valor estaba en 0, y que han medido la del lote 28005 y que les ha dado 13.8 que para ellos es un valor alto. Ha sido solictado el envío de una muestra a ATD.",Producto,Contaminacion
400014372,"Problema de contaminación en la ultima cisterna recibida. En concreto la contaminación es de pequeñas partículas negras, adheridas a la superficie de la granza. Hemos apreciado el defecto al salir envases con partículas, en 3 máquinas distintas al mismo tiempo.

El lote en cuestión es el BA-5642104.

",Producto,Contaminacion
400014374,Geles. El gestor de cuentas y el responsable ATD de la aplicación visitan el cliente que se quejó de unos problemas de geles con una entrega del lote AV-14461.,Producto,Contaminacion
400014375,El cliente informa que ha recibido 1 camión de big bags donde observa que vienen muy sucios e incluso tienen granza por la parte superior exterior de los big bags.,Envase,Aspecto
400014376,"PRESENCIA DE PARTÍCULAS METÁLICAS. El cliente nos informa que al consumir nuestro material el detector de metales salta continuamente generando cantidad de recuperado . Descargaron del silo 3 dos sacas del material limpio, pasándolo después por el detector de metales y el resultado obtenido es de dos bolsitas con partículas metálicas. Necesitan saber los motivos de esta incidencia y las acciones correctoras.",Producto,Contaminacion
400014377,El cliente se ha quejado que sigue con el problema de 'Angel Hair' en sus filtros cuando descarga de entregas por Interbulk.,Producto,Propiedades
400014382,"PROBLEMAS DE CALIDAD. 
La semana pasada recibimos un viaje de resina de la marca Repsol correspondiente al lote BA-02401\08
Esta Resina no se ha podido trabajar, ya que arrastra muchisima agua, lo que provoca que se rompan los hilos en el horno, lo que genera que se enreden y se rompan todos los hilos que se han tendido.
Utilizamos cerca de 700 kilos, de los cuales desperdiciamos 200 Kgrs Y lo peor es que no pudimos estabilizar el proceso,  lo que en este momento nos afecta, ya que tenemos parada completamente la Produccion.
Tambien te comento que hicimos todo lo posible, bajando o subiendo temperaturas, nivel de agua, velocidades de rodillos, ventiladores para quitar el agua, pero es imposible trabajarla, por lo que te solicito me ayudes y me cambien este material lo mas pronto posible, ya que es este momento estoy en plena temporada y no puedo fallarle a mis clientes.
El material anterior QuimisorPP3462 nos funciono bastante bien, ojala tuvieras de ese mismo para que me cambies este que no me funciona.",Producto,Propiedades
400014395,SACOS ROTOS CON PÉRDIDA DE MATERIAL. El cliente ha recibido varios sacos rotos con la consiguiente pérdida de material. Envía fotos donde se aprecian los sacos abiertos mas que rotos.,Envase,Aspecto
400014398,"CONTAMINACION DE GRANZA VERDE. El cliente reclama el lote por haber encontrado contaminación de granza verde y porque el big-bag presentaba granza en su parte superior y estaba agujereado. Además el palet de madera deja virutas en el fondo del big-bag con el peligro de que al colgar este, la viruta caiga dentro de la tolva por la ranura del rompedor de sacos. Proponen que el palet venga con una plancha de plásticos pare evitar el contacto con el big-bag.",Producto,Contaminacion
400014399,"CONTAMINACIÓN. El cliente se queja de que el material entregado presenta ""hilazas"" y ""rosarios"" que bloquean los filtros de la extrusora del cliente y no dejan procesar el material. Muestra entregada a ATD. El cliente tiene apartado el material y pide que se lo remplacemos urgentemente.",Producto,Contaminacion
400014404,El cliente nos informa que han aparecido hilazas en un silo (Silo 1) donde tenían almacenado 5203. el cliente no sabe cuál puede ser el portador de las hilazas.,Producto,Contaminacion
400014406,"El cliente usó en febrero sacos de esta entrega del mes de julio pasado.
Se quejó de que los sacos se rasgaban cuando quitaban la funda de protección.
Puede provocar acidentes humanos por presencia de materia prima en el suelo.",Envase,Aspecto
400014408,"Según el cliente, no consigue ""extrusionar"" el PP040C1E y tiene constantes paradas.
El cliente lo achaca a la fluidez. Los datos de neustros certificados no coinciden con los suyos. ",Producto,Contaminacion
400014409,"El cliente nos informa que han aparecido hilazas en un silo (Silo 1) donde tenían almacenado 5203. el cliente no sabe cuál puede ser el portador de las hilazas.

",Producto,Contaminacion
400014413,"POLYPIPE SE QUEJA DE HABER RECIBIDO MATERIAL HÚMEDO Y DE TENER QUE SECARLO ANTES DE UTILIZARLO.
LOS COMERCIALES VISITARON AL CLIENTE Y COMPROBARON QUE ESTABA HUMÉDA LA GRANZA Y SACARON FOTOS CON EL NÚMERO DE LOTE AFECTADO (AP-62529).
YA SE HABÍA ABIERTO UNA RECLAMACIÓN POR EL MISMO MOTIVO.
DE MOMENTO, POLYPIPE HABLA DE 10TM DE MATERIAL HÚMEDO. LUEGO ENVIARÁ QUEJA OFICIAL CON LA PETICIÓN DE INDEMNIZACIÓN.",Producto,Humedad
400014421,El cliente informa que algunas granzas tienen motas en el producto del LOTE AR05542.,Producto,Contaminacion
400014426,El cliente ha recibido en 1 lote el material en color amarillo.El cliente ha enviado la muestra del lote a ATD.,Envase,Aspecto
400014428,"Se recibe un correo del cliente PLÁSTICOS CASTELLA, solicitando una reclamación por la cisterna de PP084D2MGC que recibio el día 21/03/2012 en las instalaciones del cliente, detectando un grave problema en el material recibido.

Se encontraba dentro del material recibido, particulas metalicas en el interior de la granza (adjunto fotografías del problema enviado por el cliente).

Y debido a este problema tienen el silo bloqueado y están produciendo con los sacos. Para ello, voy a solicitar a LOGISTICA de forma urgente e inmediata la recogida del material afectado en dicho silo a través de una o dos cisternas aspirantes (en función de la cantidad de material que resida en el silo). Para que de este modo, la cisterna que tenemos que entregar esta semana, de este mismo material, el día 28/03/20212 puedan recibirla sin problemas, claro está si el silo está vacio.

Aún seguimos a la espera de que el cliente nos informe de la cantidad de kilos que reside en el silo y que por tanto hemos de retirar de forma urgente.",Producto,Contaminacion
400014437,El cliente informa de uma diferencia de peso de 125 kgs del materail PE819.,Suministro,Cantidad
400014442,"El cliente informa que ha recibido un saco roto del grado PA441, con la consecuencia de pérdida de producto.",Envase,Aspecto
400014447,"La presencia de particulas ""tapan"" las salidas de inyección lo que provoca paradas de fabricación constantes.Piden la reclamacion de los 900 kg no consumidos. Se ha enviado una muestra a ATD.",Producto,Contaminacion
400014452,"El cliente informa que desde el principio del año pesan de forma sistematica las cisternas que reciben.
Notan una diferencia de peso en cada una de nuestras entregas.
El cliente pide explicaciones y abono de estas cantidades.",Suministro,Cantidad
400014454,"El cliente informa dificultad en el proceso de extrusión utilizando los nuestros Polímeros, el cliente informa que ya ha probado diferentes lotes  y también fue usado PP030 y PP040 de lotes diferentes con el mismo resultado.

Informa que se llevó a cabo una intervención de mantenimiento preventivo y ha sido limpia, pero la zona del Fuso reversível no mostró ningún defecto ni material quemados pegado a la superficie. Después de esta intervención, el problema no se ha resuelto.Ya solicitamos el envío de las muestras de las redes de materiales quemadas y acumulado en la fieira.",Producto,Contaminacion
400014465,"El cliente nos pasa queja por unos problemas que encontró en la producción con nuestro grado PA407 que recibe en big bags.
Indica que al transformarlo le sube la presión en el extrusor, se generan obstrucciones de los conductos.
Cambiaron de lote para comprobar que había problema con la materia prima y se resolvieron estos disfuncionamientos.
Piden retirar y reemplazar producto restante de este lote: 12.6t, indemnización comercial en cuanto a las 24t que no pudieron realizar y analisis/acciones correctivas del problema occurido.",Envase,Etiquetado
400014466,"""Os informamos que hemos detectado en  2 cisternas del poliol  F2831 recepcionadas el 3/04 y 12/04 un comportamiento anómalo. Tiempo de crecida más lenta y espuma mas abierta, provocando colapso y problemas en pieza. 
comportamiento anómalo. Material utilizado aplicando las medidas necesaria para ello. Resultado:  aumento de retrabajos, piezas tiradas, suponiendo costes
comportamiento anómalo. Material bloqueado
comportamiento OK en proceso de consumo

Todos los costes ocasionados por esta incidente os serán repercutidos

En adjunto, documentación y fotos enviadas por el cliente.",Producto,Propiedades
400014467,El cliente comunica vía email que albarán 24147264 llega a sus instalaciones con un saco rato del grado PA441. ,Envase,Aspecto
400014471,"El cliente informa no conformidad con la entrega 24148369 del material 6006L , el material presenta humedad dentro y fuera de las bolsas.

Informa que esta a contabilizar todos los prejuicios causados por la humidad.",Producto,Humedad
400014476,Error en lote.,Suministro,Carga erronea
400014478, El cliente se queja de que es la segunda vez que le hacen una entrega con una temperatura por debajo de lo exigido. Tiene en los requerimientos una temperatura de entre 20 y 26º y han entregado con 15º. Han mandado la cisterna a calentar y se queja de que ello demora mucho la descarga. Exige abrir reclamación.,Suministro,Temperatura
400014495,"El cliente se queja que ha recibido el IMBTAC mojado. Indica que para ellos se trata de un producto crítico y sensible a contaminaciones y que no les parece adecuado que no se cargue en cajas cerradas.
Pide que se tomen medidas para que el problema no vuelva a ocurrir.",Envase,Aspecto
400014496,El transportista nos indica que se presentó a cargar en planta a las 11:30 y salió de allí a las 16:30 por lo que no pudo llegar a tiempo a entregar en el cliente que había ampliado el horario hasta las 19:00. Nos cobra una paralización de 240 E.,Suministro,Puntualidad
400014506,"El cliente nos informa que con  el consumo de vuestro EVA PA 420L se genera mucha cantidad de polvo , lo que les obliga a incrementar la
frecuencia de limpieza.En estos momentos tienen que limpiar dos veces por turno en cambio con el uso del EVA de la competencia limpian solamente una vez cada 24 horas.
Para valorar la cantidad de polvo generada, hemos controlado la fabricacion durante 6 horas y consumidos 2.000 kg y el resultado ha sido de 140 a 160 gr de polvo.
Solicitan un plan de accion para que disminuya el polvo que genera el uso de nuestro EVA",Producto,Contaminacion
400014517,El cliente se queja por encontrar motas en el producto. Indica restos de contaminación considerable,Producto,Contaminacion
400014519,"El cliente ha encontrado granos negros mezclado con granza y algunos includo fusionados con granza transparente.

Piden reposición inmediata  y retirada del producto. Se han enviado muestras a laboratorio.",Producto,Contaminacion
400014521,En el material PA442 Lot AR-09541 se han encontrado contaminaciones las cuales indica el cliente son de fibras dañinas a la salud. Estas contaminaciones también han bloqueado los filtros de maquina causando problemas de producción,Producto,Contaminacion
400014522,"El cliente informa que les ha llegado un saco de 25kg del grado PA444 roto y sin producto.

Solicita el abono del saco.",Envase,Aspecto
400014525,"El cliente informa que durante el proceso de mantenimiento de los equipos, se han detectado granza procedente del HDPE 6006-L, con partículas metálicas en el interior del pellet de la granza, los lotes implicados son los siguientes:

Hemos solicitado el envío de muestras a ATD.",Producto,Contaminacion
400014528,El cliente se queja que le hemos enviado el producto en cajas de 500 Kg y quería el producto en sacos de 25 Kg. Envía factura con el coste para reenvasar el producto.,Suministro,Comercial
400014533,El cliente se queja de problemas de geles en varios lotes del IMBTAC.  Ha enviado muestra a ATD.,Producto,Propiedades
400014535,"PARTE DE LA GRANZA ESTA GASIFICADAIESPUMADA. DURANTE LA
TRANSFORMACIÓN SE PRODUCE MAL PLASTIFICADO.",Producto,Propiedades
400014538,"hemos detectado suciedad en la resina que habitualmente nos suministran. En principio no se ha rechazado material dado que se detectó la suciedad en el fondo de la caja cuando el material ya estaba a punto de consumirse.
A pesar de no haber rechazado el material, se ha abierto la incidencia con la correspondiente acción correctiva adjunta y que solicitamos nos remitan debidamente cumplimentada indicando la causa y medidas correctivas.""",Envase,Aspecto
400014539,"El cliente informa que el revestimiento del palet estaba pegado a los sacos del palet, y que al retirar el plastico/revestimeinto, el saco se rompe, perdiendo así materia.
Calcula que ya ha perdido alrededor de 100 Kg del producto.
El cliente cree que el plastico del revestimiento está demasiado caliente al envolver el palet, y por este motivo se ha pegado demasiado al saco.

Piden que investiguemos el problema, para que el mismo no vuelva a pasar.",Envase,Aspecto
400014546,"General Cable ha recibido aglomerados en un lote (BC-27341) de PA460 . Estos aglomerados provocan problemas en la dosificación del material a la hora de hacer el compuesto semiconductor.
Por favor, mirar en planta donde se han podido producir estos aglomerados y si hay algo que podamos hacer para evitarlo ya que es la segunda vez que le ocurre al cliente en no mucho tiempo.
La muestra está en camino a laboratorio.
",Producto,Propiedades
400014550,"El cliente recoge producto en Puertollano y se encuentra con que 48 DRs no están envueltos en film ni atados, en 20 de ellos se ha derramado producto por arriba y en los lados,1 está abollado, 30 etiquetas se han manchado de producto",Envase,Aspecto
400014559,En la entrega 24149737 de PP040G1EP7 cliente informa que el material tecnológicamente no esta adecuado para su producción ya que las propiedades técnicas le han fallado y tienen problemas de proceso. Esto ha causado como 1000kg mono filamento de desperdicio el cual representa un coste de €5800 Euros,Producto,Propiedades
400014563,"El cliente reclama que al llegar el material, los sacos del PA443 han sido cargados con el peso erroneo y diferentes.",Suministro,Cantidad
400014577,"No conformidad indicada por el cliente. Durante la transformación del material arriba indicado, habiéndose terminado el lote que se estaba consumiendo en la máquina, cambiamos al lote indicado. En ese momento el film empieza a espumar y nos obliga a cambiar a un lote distinto y a enviar a desecho el material fabricado. Una vez cambiado el lote, el proceso de transformación transcurre con normalidad.
Una vez revisada la materia prima, encontramos en ella una alta cantidad de granza de mayor tamaño, huecos por dentro y de un color más claro. En el ensayo de flotación que realizamos, toda esa granza que es distinta al resto flota.
Solicitamos respuesta por escrito evaluando las causas de la no conformidad así como las posibles Acciones Correctivas aplicadas para evitar que dicha no conformidad se repita en el futuro.",Producto,Propiedades
400014579,impurezas en el c220n,Producto,Contaminacion
400014585,El cliente se queja de que en los últimos cuatro meses ha habido retrasos reiterados. ,Suministro,Puntualidad
400014589,el lote BK 03471 tiene mucha pelusa y entorpece el movimiento. envian muestra a atd para su investigacion,Envase,Aspecto
400014590,"el cliente recibe producto contaminado con agua, nos envia no conformidad y envia muestras al laboratorio ",Producto,Contaminacion
400014592,"El cliente informa que durante el trasvase de material a la tolva para su procesado, debido al polvo generado por la granza se les quema el motor de la bomba de transporte.",Producto,Contaminacion
400014594,"El cliente devulve cisterna ya que  no cumple el valor de reactividad, medido por Morchem con  el CPR, que para ellos es fundamental. El valor de la cisterna encontrado por ellos es 3,4 y el máximo aceptable es de 3.",Producto,Propiedades
400014596,"El distribuidor informa que salen granos negros , probó con varios pallets y todos con la misma incidencia.",Producto,Contaminacion
400014600,"el cliente se ha quejado de que los palets de cada recogida no siempre son iguales. El problema para ellos es que el transportista que les contratan cobrar más dependiendo del tamaño.
El SAC preguntó expediciones en Puertollano y dijo que los palets siempre son iguales ",Suministro,Cantidad
400014603,El cliente pasa email explicando que el grado PA443 le ha causado problemas en la fabricación de adhesivos blancos haciendo que sea de un color más oscuro de lo habitual.,Producto,Propiedades
400014606,"El cliente envía una reclamación n porque las fundas que envuelven los sacos P7 de PA411 estan soldadas a ellos, lo que da lugar a roturas de sacos.
Especifica que las roturas representan un problema de seguridad para su personal (caídas) y pide acciones correctivas. Quiere ver reflejadas estas acciones corectivas en el punto 3 de la ficha de anomalía.",Envase,Aspecto
400014607,El cliente nos informa que los geotextiles fabricados con nuestro producto han adquirido una tonalidad rosa (problema de gas fading).,Producto,Propiedades
400014613,El cliente recibe dos octabines con daños: uno con una fuga y otro en el que un pallet está roto.,Envase,Aspecto
400014614,"  El cliente nos envía un mail explicandonos que el lote AV-24412 del grado PA537 le da problema a la hora de meterlo a la maquina.
nos envía tambièn muestra del lote que envía a ATD.
En el primer turno de hoy, al empezar un nuevo pallet del PA-537, se metió uno del lote AV-24412  T-3 y el comportamiento en máquina fue totalmente distinto; como si se tratara de otro material:
 El espesor puntual en pantalla pasó de 4,4% a  18,8%
 la presión de la extrusora pasó de 250 bar a 302 bar.
  las rpm del motor cambiaron de 81 a 41
 El consumo de motor varió del 32% al 54 %
 El lote que estábamos gastando hasta ese momento, y que seguimos gastando en este momento,  es el BH-03461  T-2.
   El Encargado de turno, antes de meter el pallet a máquina, ya me avisó de que con la terminación T-3 ya había ocurrido esto mismo anteriormente, pero aun así quise comprobarlo.",Producto,Propiedades
400014615,"El cliente informa que durante el proceso de inyección de tapones se he detectado en la correspondiente máquina un
taponamiento de varias boquillas de inyección. Tras verificar las boquillas taponadas se constata que
todas ellas tienen partículas metálicas incrustadas.

La anomalía provoca una merma considerable en la producción durante la semana, siendo del 60% ( del millón de tapones previstos, solo se
fabricarón 400.000 unidades) por motivos de maquina parada para limpieza de boquillas, análisis
causas, incluso intervención del servicio técnico en fin de semana, además horas del responsable de
proceso y departamento de mantenimiento en identificar el origen causa.

Se realiza inspección de las materias primas, encontrando un pelet con partícula metálica en su interior, este pelet pertenece al
LDPE PE-017 de lote BC-17451 material recepcionado el 03/05/2012 descrito su albarán nº
24150301 procedente de Puertollano Repsol Química. Se bloquean 24 sacos, la cantidad de 600Kg
del pallet implicado.

",Producto,Contaminacion
400014617,"El cliente indica que en la entrega del 06/07 los palets estaban apilados con una acusada inclinación, a punto de derribarse, lo que considera inaceptable desde el punto de vista de seguridad.",Envase,Inclinacion
400014620,"El cliente informa que la granulometría ha provocado acumulación en reja de pre-tamizaje, una variación de dosificación del grado, y una parada.
El cliente reclama un abono de 450 Euros por las consecuencias que frenaron la producción, la recuperacíon del material restante y explicaciones de las causas de esa granulometría defectuosa.
Ya se ha enviado muestra a ATD.",Producto,Propiedades
400014623,"El cliente se queja de que el transportista, Hoyer, les llama para reservar la descarga el 07/08/12 y al preguntar el cliente la temperatura, Hoyer contesta que no lo sabe pero que se cargó a 45º. El cliente calcula que en ese momento degel material debe estar a unos 30, con lo que le dice a Hoyer que vuelva al día siguiente, que ya se habrá calentado el producto.",Suministro,Temperatura
400014626,"El cliente Recticel se queja de que esta entrega se presentó con documentación donde figuraban 4 matrículas diferentes y no lo descargó hasta que se le confirmaron las matrículas correctas.
Se adjunta queja del cliente. En servicio para objeto de SAP",Documentacion,Docs Entrega
400014630,"Abrimos aviso a petición de ATD, ya que el cliente les llamó indicando que tuvo problemas de colapsos con esta entrega. Abrimos aviso por indicación de Olivier Lemoine, ya que el cliente le ha llamado indicando que tuvo problemas de colapsos con esta entrega.
Puedes abrir un aviso para el F-3011 entrega 24169183 a Vita Baltic?
El cliente me llamó porque tuvo problemas de colapsos con esta entrega.
No dudes en contactarme si tienes preguntas.

",Envase,Inclinacion
400014638,La entrega PA465 con lotes BH23321 y BH25321 presentan partículas o bien contaminaciones que obstruyen las maquinas de producción. El cliente tiene 5.662kg de este material. El cliente espera compensación por los costes que ha causado esta contaminación y una explicación de RQ” ,Producto,Contaminacion
400014645,"El cliente se queja que ha recibido 2 pallets del producto y venía con 1 saco roto.
"" Esta mañana como te decía hemos recibido los 2 palets de PA441, al descargarlo nos hemos dado cuenta que uno de los sacos venia roto, se anotó en el CMR del que te adjunto copia y un par de fotografías también El saco no podremos utilizarlo y solicitamos su abono. """,Envase,Aspecto
400014649,"TD pide que abra una reclamación para el IMBTAC, lote nº BK-04323, indicando:

""  Reclamación en el material IMBTAC, Lote BK-04323, por una contaminación variada, tanto en el interior de los pellets (oxidados) como externa a éstos (suciedad). Se adjunta foto. La contaminación se detectó  justo después de abrir los sacos en la tolva que utilizan exclusivamente para IMBTAC. Del pallet en cuestión se abrieron 4 sacos, restaron 51 que han sido rechazados.
Requieren  información al respecto, tipo de contaminación procedencia en proceso, acciones inmediatas así como las acciones que se van a llevar a cabo en un futuro para evitar que este tipo de incidencia vuelva a suceder en un futuro.
Se envía muestra a ATD.",Producto,Contaminacion
400014655,"El cliente nos devuelve un big bag de los 13 big bags que hemos vuelto a mandar tras analisis de la reclamación 400014465.
El cliente vuelve a tener problemas al procesar el producto.
Se devuelve el big bags a planta. Devolución 24172249.

El cliente pide explicaciones y acciones correctivas",Producto,Propiedades
400014657,"Entregas al cliente de EVA Follmann del 28.08 hann llegado en muy mal estado. No es la primera vez que ocurre esto. Los plates estan dañados de tal manera que los ultimos sacos del palet se rajan o con fork-lifter o con los clavos que resaltan del palet (ver fotos adjuntas)

Este problema ya se ha reclamado por este cliente varias veces y hasta ahora  no hay solucion. Sin embargo el cliente no acepta esta condicion mas.",Envase,Aspecto
400014660,"El cliente informa que se han detectado la presencia de partículas metálicas en varios lotes de Isplen 084 y tanto en sacos como en
cisterna.
Los lotes afectados y detectados por el momento són BK 5160103 (silo) y en sacos BB 12401: albaranes 24172257 / 24146254.
Procedemos al envío de muestras para analisis dejando la reclamación abierta a su modificación y a la espera de la valoración economica por pérdidas en producción y daños. (Más detalles en Servicios para Objeto de SAP)",Producto,Contaminacion
400014664,En etregas de PA443 han salido aglomeraciones de material lo cual hace imposible de usar el material en produccion. (Ver fotografías en Servicios para Objeto de SAP.,Producto,Propiedades
400014689,"El cliente se queja de problema de viscosidad al usar el lote BH2C-060.

Se adjunta mail del cliente así como resultados de unas pruebas que han ido haciendo.",Producto,Propiedades
400014696,"Seguimos con estas situaciones vergonzosos, aquí de nuevo otra carga que no estaba segura y de nuevo dañada. Ya que no entregamos a tiempo, intentemos por lo menos de entregar las cosas en buen estado. Esta es la cuarta entrega en solo un par de semanas en mal estado. Por favor EVA es un producto diferenciado, por favor intentemos de hablar con los transportistas para que se entregue en buen estado.  Según el cliente tenemos suerte que la carga no ha sido controlada por la policía de transito alemana ya que no estaba segura. Iba sin cintas de fijacion ni otras cosas para fijar el material. Se han roto 5 sacos. Adjunto CMR firmado y con anotacion de los 5 sacos rotos en anexo, mas las fotos que ha hecho el cliente",Envase,Aspecto
400014701,De nuevo otros sacos dañados en otro cliente. El cliente reclama que en el envio de este albaran han recibido 3 sacos rotos. Adjunto CMR en anexos,Envase,Aspecto
400014702,"El cliente se queja de presencia de granulados negros en el PA411 del lote BK-25412.
A pesar de su vigilencia muchos granos pasaron a sus fabricaciones, algunos retenidos por los filtros o bien apareciendo directamente en los tubos de pegamento.
Se necesitaron varias opreraciones de filtro y de refunda de los tubos con perdida de muchas horas.
Se adjuntan reclamación oficial y fotos del cliente.
El cliente espera información sobre la naturaleza de las impurezas así como medios para el tratamiento de la no-conformidad.
El cliente manda muestras. Ver fotografías y reclamación oficial del cliente, en Servicios para Objeto de SAP.",Producto,Contaminacion
400014707,El cliente se queja de baja reactividad en el producto.,Producto,Propiedades
400014708,Abrimos aviso por petición de Olivier Lemoine. El cliente tuvo problemas de processabilidad (colapsos) espumando este P-2621 en formulaciones HR de alta densidad.,Producto,Propiedades
400014712,"El cliente reclama que el material que le ha llegado iba mal estibado, sin ningún tipo de fleje, para que los bidones no se muevan en el transporte. Los bidones se han desplazado a otros pallets.

Los bidones estaban sucios y algunos han chorreado hasta el suelo del camión, suponen que es del mismo material que llevan los bidones.

Informan también que tuvieron de utilizar pinzas de bidones para colocarlos en su sitio, y darle con un trapo y disolvente al producto derramado.

El cliente pide una explicación de las medidas preventivas que se van a  tomar.

Adjunto el correo del cliente, como también dos fotos. (Ver en Servicios para objeto de SAP).",Envase,Inclinacion
400014714,"devolucion de material por Aparición de infundidos produciendo botellas con agujeros y pequeñas manchas negras.se adjunta no conformidad,y mail del ja .se envian muestras a atd.
re 13799695.",Producto,Propiedades
400014719,"el cliente reclama lo siguiente :

Lotes afectados: BC03461, BC04461 y BC04462 (disponemos de muestras de granos contaminados de la granza de cada lote)
Aplicación: soplado de piezas tipo fuelle (disponemos de muestra). Cliente: PFP/Fabriplast.
Descripción del problema: aparición de partículas negras incrustadas en la granza del EVA, y en consecuencia en las piezas sopladas.
Valoración económica que nos ha cursado el cliente: (se adjuntan archivos explicativos",Producto,Contaminacion
400014722,"El cliente indica que en la extrusión del material ha encontrado numerosos geles que modifican la calidad final del film que fabrican. Indican dos observaciones:
- que los lotes incluidos en cada entrega tengan un IMF similar, con un valor comprendido entre 1,95-2,2 g/10; índices fuera de este rango causan dificultades en la procesibilidad del material.
- que se indique en el DDT el número de cada lote con la cantidad correspondiente.
Solicitan restituir el material indicando las medidas necesarias para evitar estas no conformidades y envían un saco del que han recibido que les ha causado estos problemas, para su análisis (reccibido en ATD el día 10/10).
Adjunto correspondencia por mail con el cliente. EL CLIENTE INDICA Nº ALBARÁN 24179518/ LOTE BC-05461 PERO CREO QUE EL CORRECTO ES EL LOTE BC-04461.",Producto,Propiedades
400014723,"El cliente se queja de que las tapas de los IBCs no estaban bien cerradas y se derramó contenido, probablemente durante el transporte.
El cliente pide investigar el asunto y tomar acciones correctivas.
Pendiente de que envíe fotos.",Envase,Aspecto
