id,codigo_cliente,material,texto_sap,analysis_de_causas,causa_raiz,category,sub_category
400014338,90466,['PP040G1EP7'],Impurezas en el material y residuos. El cliente se queja que encontro impurezas en el material y residuos solidos. Impurezas sòlidas y residuos de carbono. ,,-1,Producto,Contaminacion
400014343,90198,['PE023P7'],Pesos variables de sacos. El cliente se ha quejado de que en cada palet hay una mezcla de pesos de sacos. El cliente tienen que tener todos los sacos a 25kg para que puedan hacer las mezclas correctamente en sus maquinas. Han encontrado pesos entre 19kg  a 25kg. Adjuntado el email del cliente con mas detalle del problema con informe y fotos.,['posiblemente por problemas en la báscula de envasado.'],-1,Suministro,Cantidad
400014344,90392,['IMBUV2000PQ'],El cliente se queja de que el palet llegó roto. La consecuencia fue que habia un saco de 25kg roto. Han pedido indemnización para el saco roto.,"['Este envio se realizó a través de Personal Expres, en este tipo de envios con estos transportistas, se realizan al menos 2 transbordos hasta la entrega al cliente final.']",-1,Envase,Aspecto
400014351,83104,['5203P7'],"Botellas con transparencias. El cliente informa de que mediante el uso del PEAD 5203 – Lote 50704, que las botellas fabricadas tienen pequeñas áreas transparentes. Estas transparencias aparecen al azar en cualquier posición de la botella. Informo que algunas de estas transparencias es fácilmente visible a simples vista, otros solo con un luz de fondo.

Informa que el material se utiliza en la fabricación de botellas de detergentes y no se puede correr el Riesgo de una de estas áreas en contacto con el producto ocasione un agujero.

El cliente solicita la devolución de 15.125 kg de material contaminado.

Hemos tenido el mismo problema con el pedido 13759776 -  albarán 24127206 aviso de calidad 400014296.

El GC tiene programada una visita con el técnico del laboratorio el día 16/02 para analizar la situación.

Adjunto correo del cliente en Portugués.",,-1,Producto,Propiedades
400014357,10302,['PP020G3EP7'],"El albaran se facturó conel siguiente peso 23.375 Kgs. Sin embargo, teniamos fundadas sospechas que el cliente recibió 1.375 Kgs mas del mismo material y lote (1 palet de mas). El ticket de pesada así lo confirmaba, tal y como nos aseguró posteriormente el propio cliente, confirmándonoslo dichas sospechas. Haz lo necesario para que se normalice esta situación y al cliente se le facture lo que realmente recibió.",,-1,Suministro,Cantidad
400014360,30115,['IMBUVH3ABP'],"La cantidad de aditivo NOR presente en el master es inferior a la especificada. Se realiza un control de aditivo NOR vía FTIR. El resultado debería ser de alrededor de 12000 ppm. Los resultados reales obtenidos son de 9030 ppm. Esto significa que la concentración del master es del 13,9 % de NOR en lugar del 19 % especificado, es decir un 73 % de la especificación. Se ha detectado el error en una saca. No sabemos si el resto del lote tendría el mismo problema. En algún caso hemos detectado problemas de dosificación en nuestros controles, pero no tan altos como en este caso. ","['En cualquier caso, aunque desde el punto de vista de planta no se ha podido encontrar el origen del bajo contenido en T371, la reclamación va ha considerarse justificada porque tanto en ATD como en nuestro laboratorio, se ha visto que el contenido de aditivo está en torno al 14% (adjunto tabla resúmen de ATD).']",-1,Suministro,Cantidad
400014365,11434,['PE071GC'],"El cliente informa que tiene un silo bloqueado con unas 40 toneladas de PE071 donde ha encontrado virutas metálicas de origen desconocido.
Ellos han estado revisando todo su sistema y no tienen ningún equipo donde puedan salir estas partículas ferrosas. Se sospecha que pueda haber venido de una de nuestras cisternas.",['se ha revisado la muestra testigo que guardamos en el laboratorio de este lote y tampoco se han encontrado partículas metálicas. No creemos que haya evidencias de que sea justificada'],-1,Producto,Contaminacion
400014366,10132,['C48110GC'],"El cliente informa que el prepolimero hecho con la ultima cisterna, ha salido rojo, y que en 3 horas ha subido mucho la viscosidad 7000 cP cuando lo normal es 5500 cP. Comenta que en la anterior entrega era del mismo lote y no les ha dado problemas.

Informa que han medido la basicidad del lote 28004 y el valor estaba en 0, y que han medido la del lote 28005 y que les ha dado 13.8 que para ellos es un valor alto. Ha sido solictado el envío de una muestra a ATD.",['No ha habido ningún problema a nivel de proceso en las tandas que lo componen.'],-1,Producto,Contaminacion
400014372,10059,['5203GC'],"Problema de contaminación en la ultima cisterna recibida. En concreto la contaminación es de pequeñas partículas negras, adheridas a la superficie de la granza. Hemos apreciado el defecto al salir envases con partículas, en 3 máquinas distintas al mismo tiempo.

El lote en cuestión es el BA-5642104.

","[' Dado que los análisis de ATD reportan un mineral, todo indica a que la contaminación se ha realizado en la cisterna, que anteriormente contuvo sepiolita.']",-1,Producto,Contaminacion
400014374,87107,['PA439BP'],Geles. El gestor de cuentas y el responsable ATD de la aplicación visitan el cliente que se quejó de unos problemas de geles con una entrega del lote AV-14461.,[' Los resultados analíticos no indican presencia de contaminación y el producto fue calificado como primera calidad.'],-1,Producto,Contaminacion
400014375,10162,['PA460BP'],El cliente informa que ha recibido 1 camión de big bags donde observa que vienen muy sucios e incluso tienen granza por la parte superior exterior de los big bags.,,-1,Envase,Aspecto
400014376,11589,['PP034W3FGC'],"PRESENCIA DE PARTÍCULAS METÁLICAS. El cliente nos informa que al consumir nuestro material el detector de metales salta continuamente generando cantidad de recuperado . Descargaron del silo 3 dos sacas del material limpio, pasándolo después por el detector de metales y el resultado obtenido es de dos bolsitas con partículas metálicas. Necesitan saber los motivos de esta incidencia y las acciones correctoras.","['Se ha analizado la situación de los extrusores durante las fechas de fabricación del lote, sin encontrarse ningún problema destacable', 'no se realizaron operaciones de mantenimiento en la planta de homogeneización en los días previos a la fabricación de estos lotes.', 'El material de las líneas desde el extrusor a los silos es acero inoxidable, por lo que es muy difícil que se pueda deteriorar de tal manera para que salga este polvo. Podría venir de la boca de la cisterna, del silo del cliente.']",-1,Producto,Contaminacion
400014377,84739A,['PA539GC'],El cliente se ha quejado que sigue con el problema de 'Angel Hair' en sus filtros cuando descarga de entregas por Interbulk.,,-1,Producto,Propiedades
400014382,90714,['PP040G1EP7'],"PROBLEMAS DE CALIDAD. 
La semana pasada recibimos un viaje de resina de la marca Repsol correspondiente al lote BA-02401\08
Esta Resina no se ha podido trabajar, ya que arrastra muchisima agua, lo que provoca que se rompan los hilos en el horno, lo que genera que se enreden y se rompan todos los hilos que se han tendido.
Utilizamos cerca de 700 kilos, de los cuales desperdiciamos 200 Kgrs Y lo peor es que no pudimos estabilizar el proceso,  lo que en este momento nos afecta, ya que tenemos parada completamente la Produccion.
Tambien te comento que hicimos todo lo posible, bajando o subiendo temperaturas, nivel de agua, velocidades de rodillos, ventiladores para quitar el agua, pero es imposible trabajarla, por lo que te solicito me ayudes y me cambien este material lo mas pronto posible, ya que es este momento estoy en plena temporada y no puedo fallarle a mis clientes.
El material anterior QuimisorPP3462 nos funciono bastante bien, ojala tuvieras de ese mismo para que me cambies este que no me funciona.",['es posible que el cliente haya consumido por primera vez este grado para su aplicación.\n'],-1,Producto,Propiedades
400014395,87467,['PA443P7'],SACOS ROTOS CON PÉRDIDA DE MATERIAL. El cliente ha recibido varios sacos rotos con la consiguiente pérdida de material. Envía fotos donde se aprecian los sacos abiertos mas que rotos.,,-1,Envase,Aspecto
400014398,10162,['PA460BP'],"CONTAMINACION DE GRANZA VERDE. El cliente reclama el lote por haber encontrado contaminación de granza verde y porque el big-bag presentaba granza en su parte superior y estaba agujereado. Además el palet de madera deja virutas en el fondo del big-bag con el peligro de que al colgar este, la viruta caiga dentro de la tolva por la ranura del rompedor de sacos. Proponen que el palet venga con una plancha de plásticos pare evitar el contacto con el big-bag.",,-1,Producto,Contaminacion
400014399,80931,['PP030G1EP7'],"CONTAMINACIÓN. El cliente se queja de que el material entregado presenta ""hilazas"" y ""rosarios"" que bloquean los filtros de la extrusora del cliente y no dejan procesar el material. Muestra entregada a ATD. El cliente tiene apartado el material y pide que se lo remplacemos urgentemente.",,-1,Producto,Contaminacion
400014404,11487,['5203GC'],El cliente nos informa que han aparecido hilazas en un silo (Silo 1) donde tenían almacenado 5203. el cliente no sabe cuál puede ser el portador de las hilazas.,,-1,Producto,Contaminacion
400014406,84993,['PA411P7'],"El cliente usó en febrero sacos de esta entrega del mes de julio pasado.
Se quejó de que los sacos se rasgaban cuando quitaban la funda de protección.
Puede provocar acidentes humanos por presencia de materia prima en el suelo.",['Problema en la enfundadora'],-1,Envase,Aspecto
400014408,83878,['PP040C1EGC'],"Según el cliente, no consigue ""extrusionar"" el PP040C1E y tiene constantes paradas.
El cliente lo achaca a la fluidez. Los datos de neustros certificados no coinciden con los suyos. ",,-1,Producto,Contaminacion
400014409,11487,['5203GC'],"El cliente nos informa que han aparecido hilazas en un silo (Silo 1) donde tenían almacenado 5203. el cliente no sabe cuál puede ser el portador de las hilazas.

",,-1,Producto,Contaminacion
400014413,86089,['4810P7'],"POLYPIPE SE QUEJA DE HABER RECIBIDO MATERIAL HÚMEDO Y DE TENER QUE SECARLO ANTES DE UTILIZARLO.
LOS COMERCIALES VISITARON AL CLIENTE Y COMPROBARON QUE ESTABA HUMÉDA LA GRANZA Y SACARON FOTOS CON EL NÚMERO DE LOTE AFECTADO (AP-62529).
YA SE HABÍA ABIERTO UNA RECLAMACIÓN POR EL MISMO MOTIVO.
DE MOMENTO, POLYPIPE HABLA DE 10TM DE MATERIAL HÚMEDO. LUEGO ENVIARÁ QUEJA OFICIAL CON LA PETICIÓN DE INDEMNIZACIÓN.","['Se ha realizado un análisis de la trazabilidad e historia de los lotes afectados. No se detectan incidencias posibles en ninguna etapa de producción, envasado o almacenamiento.No se detectan incidencias posibles en ninguna etapa de producción, envasado o almacenamiento.', 'No se registran incidencias en la sección de secado de producto en la fase de extrusión. Todos los resultados analíticos de los lotes corresponden a primera calidad.', 'Podríamos achacar la humedad a una causa incontrolable como es la condensación de la humedad del aire usado para el transporte neumático en días de cambio brusco de temperatura ambiente en el silo de envasado, con el consecuente incremento de humedad en el producto a envasar, en lugar de la normal evacuación por la ventilación conjuntamente con el aire.']",-1,Producto,Humedad
400014421,80265,"['PA441P7', 'Centro de procedencia', 74, 'Puerto Valencia']",El cliente informa que algunas granzas tienen motas en el producto del LOTE AR05542.,,-1,Producto,Contaminacion
400014426,89008,['C240UVOC'],El cliente ha recibido en 1 lote el material en color amarillo.El cliente ha enviado la muestra del lote a ATD.,,-1,Envase,Aspecto
400014428,10218,['PP084D2MGC'],"Se recibe un correo del cliente PLÁSTICOS CASTELLA, solicitando una reclamación por la cisterna de PP084D2MGC que recibio el día 21/03/2012 en las instalaciones del cliente, detectando un grave problema en el material recibido.

Se encontraba dentro del material recibido, particulas metalicas en el interior de la granza (adjunto fotografías del problema enviado por el cliente).

Y debido a este problema tienen el silo bloqueado y están produciendo con los sacos. Para ello, voy a solicitar a LOGISTICA de forma urgente e inmediata la recogida del material afectado en dicho silo a través de una o dos cisternas aspirantes (en función de la cantidad de material que resida en el silo). Para que de este modo, la cisterna que tenemos que entregar esta semana, de este mismo material, el día 28/03/20212 puedan recibirla sin problemas, claro está si el silo está vacio.

Aún seguimos a la espera de que el cliente nos informe de la cantidad de kilos que reside en el silo y que por tanto hemos de retirar de forma urgente.","['Los detectores de metales instalados en las líneas de envasado de granza están calibrados conforme al plan de calibración de la planta. En este sentido, durante el envasado del lote BB-08301 no se detectó ninguna anomalía.', 'Derivado de todo lo anterior, no se encuentra una razón que justifique la presencia de partículas metálicas en el interior de la granza. Sin embargo, se continuará investigando el asunto.']",-1,Producto,Contaminacion
400014437,88605,['PE819P7'],El cliente informa de uma diferencia de peso de 125 kgs del materail PE819.,['Segun nuestros datos las cantidades enviadas son correctas'],-1,Suministro,Cantidad
400014442,20153,['PA441P7'],"El cliente informa que ha recibido un saco roto del grado PA441, con la consecuencia de pérdida de producto.",['*'],-1,Envase,Aspecto
400014447,83921,['PE017P7'],"La presencia de particulas ""tapan"" las salidas de inyección lo que provoca paradas de fabricación constantes.Piden la reclamacion de los 900 kg no consumidos. Se ha enviado una muestra a ATD.",['Pellets con motas que son atraídos por imán demostrando presencia de polvo metálico en interior de los mismos. Recibidas muestras de piezas fabricadas y mazarota de inyección y se observan puntos negros.'],-1,Producto,Contaminacion
400014452,88329,['5606TGC'],"El cliente informa que desde el principio del año pesan de forma sistematica las cisternas que reciben.
Notan una diferencia de peso en cada una de nuestras entregas.
El cliente pide explicaciones y abono de estas cantidades.",,-1,Suministro,Cantidad
400014454,85094,['PE033P7'],"El cliente informa dificultad en el proceso de extrusión utilizando los nuestros Polímeros, el cliente informa que ya ha probado diferentes lotes  y también fue usado PP030 y PP040 de lotes diferentes con el mismo resultado.

Informa que se llevó a cabo una intervención de mantenimiento preventivo y ha sido limpia, pero la zona del Fuso reversível no mostró ningún defecto ni material quemados pegado a la superficie. Después de esta intervención, el problema no se ha resuelto.Ya solicitamos el envío de las muestras de las redes de materiales quemadas y acumulado en la fieira.","['Se ha revisado la fabricación del lote afectado sin encontrar incidencias en la misma', 'Se considera por tanto la reclamación como no justificada']",-1,Producto,Contaminacion
400014465,88892,['PA407BP'],"El cliente nos pasa queja por unos problemas que encontró en la producción con nuestro grado PA407 que recibe en big bags.
Indica que al transformarlo le sube la presión en el extrusor, se generan obstrucciones de los conductos.
Cambiaron de lote para comprobar que había problema con la materia prima y se resolvieron estos disfuncionamientos.
Piden retirar y reemplazar producto restante de este lote: 12.6t, indemnización comercial en cuanto a las 24t que no pudieron realizar y analisis/acciones correctivas del problema occurido.",['Error en el etiquetado big-bag.'],-1,Envase,Etiquetado
400014466,20287,['F28310GC'],"""Os informamos que hemos detectado en  2 cisternas del poliol  F2831 recepcionadas el 3/04 y 12/04 un comportamiento anómalo. Tiempo de crecida más lenta y espuma mas abierta, provocando colapso y problemas en pieza. 
comportamiento anómalo. Material utilizado aplicando las medidas necesaria para ello. Resultado:  aumento de retrabajos, piezas tiradas, suponiendo costes
comportamiento anómalo. Material bloqueado
comportamiento OK en proceso de consumo

Todos los costes ocasionados por esta incidente os serán repercutidos

En adjunto, documentación y fotos enviadas por el cliente.",['Episodio de turbidez y desviaciones en el PE. Se puso en conocimiento y se han estado investigando las posibles causas. El producto ha sido evaluado por ATD y se dio el VºB para su salida tras obtener buenos resultados en el test de espumación crítica.'],-1,Producto,Propiedades
400014467,20153,['PA411P7'],El cliente comunica vía email que albarán 24147264 llega a sus instalaciones con un saco rato del grado PA441. ,"['se aprecia que el film esta arrollado hacia la parte exterior, por lo que me atrevo a decir que la rotura se realizo durante la descarga']",-1,Envase,Aspecto
400014471,84872,['6006LP7'],"El cliente informa no conformidad con la entrega 24148369 del material 6006L , el material presenta humedad dentro y fuera de las bolsas.

Informa que esta a contabilizar todos los prejuicios causados por la humidad.","['Centrándonos en la humedad debida a lluvia dentro de los pallets y por el exterior de los sacos, en cuanto al paletizado de este lote, se realizó completamente en la línea norte el día 3/2/2012, 4 días antes, el día 30/1/2012 mantenimiento realizó una revisión completa dejando el equipo en servicio y no se han registrado incidencias en esta línea de paletizado durante los días posteriores, en los que se envasó el lote BB-50703. Con estos condicionantes no se deberían haber producido defectos en la soldadura del film de los pallets constituyentes del lote que originaran esos focos de contaminación por lluvia en el almacenamiento exterior.']",-1,Producto,Humedad
400014476,89089,['PA539MOC'],Error en lote.,,-1,Suministro,Carga erronea
400014478,80604,['F30110GC'], El cliente se queja de que es la segunda vez que le hacen una entrega con una temperatura por debajo de lo exigido. Tiene en los requerimientos una temperatura de entre 20 y 26º y han entregado con 15º. Han mandado la cisterna a calentar y se queja de que ello demora mucho la descarga. Exige abrir reclamación.,"['algun transbordo en ruta y el plazo de entrega son 7 dias, ademas a paises del norte de Europa, en este caso Holanda.Esta puede ser la posible causa del enfriamiento del producto.']",-1,Suministro,Temperatura
400014495,12259,['IMBTACPD'],"El cliente se queja que ha recibido el IMBTAC mojado. Indica que para ellos se trata de un producto crítico y sensible a contaminaciones y que no les parece adecuado que no se cargue en cajas cerradas.
Pide que se tomen medidas para que el problema no vuelva a ocurrir.",['Tapara el camión con una lona.'],-1,Envase,Aspecto
400014496,11252,['PE071GC'],El transportista nos indica que se presentó a cargar en planta a las 11:30 y salió de allí a las 16:30 por lo que no pudo llegar a tiempo a entregar en el cliente que había ampliado el horario hasta las 19:00. Nos cobra una paralización de 240 E.,,-1,Suministro,Puntualidad
400014506,11589,['PA420LBP'],"El cliente nos informa que con  el consumo de vuestro EVA PA 420L se genera mucha cantidad de polvo , lo que les obliga a incrementar la
frecuencia de limpieza.En estos momentos tienen que limpiar dos veces por turno en cambio con el uso del EVA de la competencia limpian solamente una vez cada 24 horas.
Para valorar la cantidad de polvo generada, hemos controlado la fabricacion durante 6 horas y consumidos 2.000 kg y el resultado ha sido de 140 a 160 gr de polvo.
Solicitan un plan de accion para que disminuya el polvo que genera el uso de nuestro EVA",['Acumulación de polvo.'],-1,Producto,Contaminacion
400014517,83972,['PA442P7'],El cliente se queja por encontrar motas en el producto. Indica restos de contaminación considerable,,-1,Producto,Contaminacion
400014519,10134,['PA554P7'],"El cliente ha encontrado granos negros mezclado con granza y algunos includo fusionados con granza transparente.

Piden reposición inmediata  y retirada del producto. Se han enviado muestras a laboratorio.",,-1,Producto,Contaminacion
400014521,83827,['PA442P7'],En el material PA442 Lot AR-09541 se han encontrado contaminaciones las cuales indica el cliente son de fibras dañinas a la salud. Estas contaminaciones también han bloqueado los filtros de maquina causando problemas de producción,,-1,Producto,Contaminacion
400014522,12207,['PA444EXP1P7'],"El cliente informa que les ha llegado un saco de 25kg del grado PA444 roto y sin producto.

Solicita el abono del saco.",,-1,Envase,Aspecto
400014525,20893,['6006LGC'],"El cliente informa que durante el proceso de mantenimiento de los equipos, se han detectado granza procedente del HDPE 6006-L, con partículas metálicas en el interior del pellet de la granza, los lotes implicados son los siguientes:

Hemos solicitado el envío de muestras a ATD.",,-1,Producto,Contaminacion
400014528,12027,['PA461SA1'],El cliente se queja que le hemos enviado el producto en cajas de 500 Kg y quería el producto en sacos de 25 Kg. Envía factura con el coste para reenvasar el producto.,,-1,Suministro,Comercial
400014533,12259,['IMBTACPD'],El cliente se queja de problemas de geles en varios lotes del IMBTAC.  Ha enviado muestra a ATD.,['Película W aunque cerca del límite establecido para ser apto.'],-1,Producto,Propiedades
400014535,20047,['I117TDPQ'],"PARTE DE LA GRANZA ESTA GASIFICADAIESPUMADA. DURANTE LA
TRANSFORMACIÓN SE PRODUCE MAL PLASTIFICADO.",['Los granos espumados se generen durante el cambio de filtro debido a la entrada en contacto con oxígeno.'],-1,Producto,Propiedades
400014538,12259,['PA461SA1'],"hemos detectado suciedad en la resina que habitualmente nos suministran. En principio no se ha rechazado material dado que se detectó la suciedad en el fondo de la caja cuando el material ya estaba a punto de consumirse.
A pesar de no haber rechazado el material, se ha abierto la incidencia con la correspondiente acción correctiva adjunta y que solicitamos nos remitan debidamente cumplimentada indicando la causa y medidas correctivas.""",['Polvo EVA.'],-1,Envase,Aspecto
400014539,88871,['PA442P7'],"El cliente informa que el revestimiento del palet estaba pegado a los sacos del palet, y que al retirar el plastico/revestimeinto, el saco se rompe, perdiendo así materia.
Calcula que ya ha perdido alrededor de 100 Kg del producto.
El cliente cree que el plastico del revestimiento está demasiado caliente al envolver el palet, y por este motivo se ha pegado demasiado al saco.

Piden que investiguemos el problema, para que el mismo no vuelva a pasar.",,-1,Envase,Aspecto
400014546,10162,['PA460BP'],"General Cable ha recibido aglomerados en un lote (BC-27341) de PA460 . Estos aglomerados provocan problemas en la dosificación del material a la hora de hacer el compuesto semiconductor.
Por favor, mirar en planta donde se han podido producir estos aglomerados y si hay algo que podamos hacer para evitarlo ya que es la segunda vez que le ocurre al cliente en no mucho tiempo.
La muestra está en camino a laboratorio.
",['Al no detectarse evidencias de incidencias ni haberse detectado en el control analítico en todos los sacos evaluados se considera la reclamación no justificada.\n'],-1,Producto,Propiedades
400014550,89867,['D20210DR'],"El cliente recoge producto en Puertollano y se encuentra con que 48 DRs no están envueltos en film ni atados, en 20 de ellos se ha derramado producto por arriba y en los lados,1 está abollado, 30 etiquetas se han manchado de producto",,-1,Envase,Aspecto
400014559,88464,['pp040g1ep7'],En la entrega 24149737 de PP040G1EP7 cliente informa que el material tecnológicamente no esta adecuado para su producción ya que las propiedades técnicas le han fallado y tienen problemas de proceso. Esto ha causado como 1000kg mono filamento de desperdicio el cual representa un coste de €5800 Euros,,-1,Producto,Propiedades
400014563,89871,['PA443P7'],"El cliente reclama que al llegar el material, los sacos del PA443 han sido cargados con el peso erroneo y diferentes.","['Falta de atencion en el reenvasado, por parte de los operarios en la linea de envasado de PEBD ']",-1,Suministro,Cantidad
400014577,20136,['I117TDPQ'],"No conformidad indicada por el cliente. Durante la transformación del material arriba indicado, habiéndose terminado el lote que se estaba consumiendo en la máquina, cambiamos al lote indicado. En ese momento el film empieza a espumar y nos obliga a cambiar a un lote distinto y a enviar a desecho el material fabricado. Una vez cambiado el lote, el proceso de transformación transcurre con normalidad.
Una vez revisada la materia prima, encontramos en ella una alta cantidad de granza de mayor tamaño, huecos por dentro y de un color más claro. En el ensayo de flotación que realizamos, toda esa granza que es distinta al resto flota.
Solicitamos respuesta por escrito evaluando las causas de la no conformidad así como las posibles Acciones Correctivas aplicadas para evitar que dicha no conformidad se repita en el futuro.",,-1,Producto,Propiedades
400014579,11383,['C220NP7'],impurezas en el c220n,"['Existe una falta de cumplimiento del plan analítico del grado al no medirse la calidad de película en el lote que hubiera confirmado los resultados de película N o bien los de película mala.', 'El indicio más claro causante de la no conformidad es la calidad de película del concentrado. Se detecta fallo en la aplicación SAP para asegurar el cumplimiento de la especificación concertada para suministro de PA440 (polímero base) a Polyone con calidad de película mejor o igual a C2 para la fabricación del concentrado 105/11.']",-1,Producto,Contaminacion
400014585,86239,['R47200GC'],El cliente se queja de que en los últimos cuatro meses ha habido retrasos reiterados. ,,-1,Suministro,Puntualidad
400014589,20136,['IMBUVH3AP7'],el lote BK 03471 tiene mucha pelusa y entorpece el movimiento. envian muestra a atd para su investigacion,['Posible suciedad en placa de corte.'],-1,Envase,Aspecto
400014590,11476,['6006LP7'],"el cliente recibe producto contaminado con agua, nos envia no conformidad y envia muestras al laboratorio ",['Sin conclusión clara. Posibilidades: almacenamiento exterior con deficiente enfundado del pallet; condensación impredecible e incontrolable con los medios existentes durante ensacado.'],-1,Producto,Contaminacion
400014592,11589,['PA420LBP'],"El cliente informa que durante el trasvase de material a la tolva para su procesado, debido al polvo generado por la granza se les quema el motor de la bomba de transporte.",['El polvo puede estar generándose en las líneas de transporte neumático de granza'],-1,Producto,Contaminacion
400014594,10992AC,['D10110GC'],"El cliente devulve cisterna ya que  no cumple el valor de reactividad, medido por Morchem con  el CPR, que para ellos es fundamental. El valor de la cisterna encontrado por ellos es 3,4 y el máximo aceptable es de 3.",,-1,Producto,Propiedades
400014596,40132EN1,['PP070G2MP7'],"El distribuidor informa que salen granos negros , probó con varios pallets y todos con la misma incidencia.","['Partículas requemadas generadas como consecuencia de la parada del extrusor.', 'Toma de muestra deficiente que provocan que el Laboratorio no detecte estos defectos']",-1,Producto,Contaminacion
400014600,89479,['pa443p7'],"el cliente se ha quejado de que los palets de cada recogida no siempre son iguales. El problema para ellos es que el transportista que les contratan cobrar más dependiendo del tamaño.
El SAC preguntó expediciones en Puertollano y dijo que los palets siempre son iguales ",,-1,Suministro,Cantidad
400014603,20153,['PA443P7'],El cliente pasa email explicando que el grado PA443 le ha causado problemas en la fabricación de adhesivos blancos haciendo que sea de un color más oscuro de lo habitual.,"['Producto cumple especificación y no se observan evidencias que expliquen la variación de color (antioxidante en especificación, motas y color en especificación de primera calidad)']",-1,Producto,Propiedades
400014606,84993,['PA411P7'],"El cliente envía una reclamación n porque las fundas que envuelven los sacos P7 de PA411 estan soldadas a ellos, lo que da lugar a roturas de sacos.
Especifica que las roturas representan un problema de seguridad para su personal (caídas) y pide acciones correctivas. Quiere ver reflejadas estas acciones corectivas en el punto 3 de la ficha de anomalía.","['Fallo de mesa elevadora hidráulica de paletizador de línea 2, por problema en electroválvula.']",-1,Envase,Aspecto
400014607,12143,['PP050Y1EGC'],El cliente nos informa que los geotextiles fabricados con nuestro producto han adquirido una tonalidad rosa (problema de gas fading).,,-1,Producto,Propiedades
400014613,89089,['PA539MOC'],El cliente recibe dos octabines con daños: uno con una fuga y otro en el que un pallet está roto.,,-1,Envase,Aspecto
